ht_id,가성비,친절,청결,관광,주차,조식,방음,접근성,비품,시설
1,66.8978,53.3862,38.9684,24.1121,3.7218,19.6568,14.2828,53.0949,9.5212,13.2588
2,79.7346,56.5584,27.5881,48.2243,0.0,217.1516,12.1874,80.5917,7.6536,15.384
3,1.8041,14.7865,8.4127,,2.7914,16.3807,4.9268,6.7765,7.2508,8.0356
4,97.2546,85.0711,44.4523,16.0748,14.3557,2.8081,80.0375,56.5606,33.1656,32.025
5,40.4117,61.901,43.116,16.0748,11.1655,12.6365,12.9954,20.2833,14.2818,16.5115
6,1.4433,2.4806,2.0564,,2.7914,,3.2845,9.6807,4.0282,4.3048
7,174.7534,156.1871,155.4666,80.3738,82.7706,13.163,99.1846,223.4521,64.8387,126.5635
8,80.3616,100.0522,77.4793,16.0748,4.4662,4.2122,80.7998,56.1163,55.3879,69.7379
9,45.9271,38.6325,41.2942,16.0748,4.1871,5.0546,14.1488,49.2685,34.1522,35.4224
10,145.9633,79.2412,58.4579,32.1495,13.6868,24.3862,45.153,120.938,26.507,66.4251
11,1.4433,3.3075,0.4487,,,5.6162,3.2845,3.8723,,1.9679
12,76.1452,50.5073,56.6315,16.0748,9.4209,141.5289,19.0715,53.943,61.4507,31.086
13,71.394,60.7259,64.1164,48.2243,35.3575,9.8284,49.0089,42.09,28.9721,32.4944
14,153.9686,62.3259,58.7169,8.0374,57.9749,24.22,51.5513,56.3416,26.148,43.3881
15,9.4368,56.3064,20.3566,24.1121,3.3497,130.1916,7.3902,34.4683,12.0846,25.5506
16,9.6218,77.3841,25.36,229.1951,7.5532,168.1791,14.5458,46.539,31.0747,50.4462
17,11.5462,4.9613,9.2795,,2.7914,8.4243,2.3608,3.8723,4.8338,2.8177
18,11.1338,4.6512,2.3644,16.0748,15.0735,7.108,0.0,20.039,4.431,4.8429
19,105.3154,186.2598,102.0054,8.0374,28.8548,125.5753,87.323,184.1435,65.9387,88.13
20,80.2736,186.3041,90.417,151.9065,17.5942,65.4801,50.0671,173.8065,52.3017,98.7887
21,125.5001,151.7101,93.6434,72.3364,34.5434,70.2028,39.4351,276.4718,77.373,151.3468
22,35.3178,103.2564,51.2575,32.1495,25.1225,6.3183,13.7951,68.4766,47.5712,44.6624
23,48.2695,119.6381,104.4527,,64.0985,109.3574,52.2586,116.9559,30.9862,58.4584
24,71.1091,121.1804,92.9136,128.5981,89.7231,78.8904,42.0123,103.4668,66.1474,86.3705
25,15.7157,9.9225,1.2713,,0.0,7.0203,4.9268,15.1912,2.0141,1.6789
26,95.0878,86.5328,99.374,16.0748,43.4991,3.3697,46.4555,98.7983,41.1772,47.3051
27,3.8487,3.3075,0.0,8.0374,2.7914,0.0,1.6423,3.8723,0.0,1.9679
28,182.1173,87.9202,81.3593,16.0748,54.8972,78.2648,45.1625,181.4059,45.4526,74.5081
29,27.6628,56.8932,49.5097,,77.4043,0.0,29.7799,12.3913,53.8656,52.1544
30,85.8749,57.3491,58.1775,,51.9729,4.2122,40.8349,36.5505,19.9041,39.9073
31,46.3799,49.3324,86.6233,8.0374,32.6592,,34.9476,72.3818,23.4979,53.9067
32,52.9834,29.1474,25.112,,24.4246,5.2652,23.3708,39.6028,5.7066,31.2237
33,63.3729,41.7777,66.4399,,35.1714,0.0,17.2439,76.9308,46.5762,47.7864
