ht_id,가성비,친절,청결,주변시설,주차,조식,방음,위치,비품,시설
1,75.9858,105.842,170.8561,4.918,2.1858,15.3005,14.2573,89.9117,7.7496,50.4918
2,4.3535,5.3901,5.8144,0.4728,0.0,8.125,0.5848,6.5603,0.2994,2.8161
3,0.5841,8.3562,10.514,,0.4673,3.6345,1.4019,3.271,1.6822,8.7227
4,11.0467,16.866,19.49,0.3279,0.8431,0.2186,7.9895,9.5781,2.6995,12.1957
5,7.7135,20.6229,31.7672,0.551,1.1019,1.6529,2.1799,5.772,1.9534,10.5664
6,0.8065,2.4194,4.4355,,0.8065,,1.6129,8.0645,1.6129,8.0645
7,4.5899,7.1603,15.7619,0.3791,1.124,0.2369,2.2894,8.7499,1.2203,11.145
8,10.7283,23.3141,39.9269,0.3854,0.3083,0.3854,9.4798,11.169,5.2987,31.2139
9,13.8354,20.3134,48.0185,0.8696,0.6522,1.0435,3.7458,22.1277,7.3724,35.7764
10,6.5205,6.1787,10.0804,0.2579,0.3161,0.7465,1.7727,8.0546,0.8485,9.9487
11,0.3279,1.3115,0.3934,,,0.8743,0.6557,1.3115,,1.4988
12,0.3074,0.3559,0.8825,0.0117,0.0197,0.3915,0.0677,0.3247,0.1778,0.4207
13,8.7089,12.9296,30.1903,1.0563,2.23,0.8216,5.2539,7.6546,2.5325,13.2894
14,1.9229,1.3586,2.8306,0.018,0.3744,0.2073,0.5658,1.049,0.234,1.8167
15,1.2871,13.4046,10.7174,0.5906,0.2362,12.1687,0.8858,7.0089,1.1811,11.6838
16,1.1299,15.862,11.4959,4.8332,0.4586,13.5346,1.5012,8.1481,2.615,19.862
17,14.8148,11.1111,45.9596,,1.8519,7.4074,2.662,7.4074,4.4444,12.1212
18,3.1359,2.2866,2.5705,0.813,2.1951,1.372,0.0,8.4146,0.8943,4.5732
19,1.4703,4.5387,5.497,0.0201,0.2083,1.2014,1.0714,3.8327,0.6597,4.125
20,1.5314,6.2035,6.6581,0.5204,0.1735,0.856,0.8394,4.9433,0.715,6.3184
21,1.5865,3.3474,4.5695,0.1642,0.2258,0.6082,0.4381,5.2106,0.7009,6.4145
22,11.4885,58.6268,64.3613,1.8779,4.2254,1.4085,3.9437,33.2091,11.0888,48.7089
23,1.3906,6.0161,11.6159,,0.9548,2.159,1.3231,5.0234,0.6397,5.6465
24,1.6341,4.8608,8.2421,0.5307,1.0661,1.2424,0.8485,3.5449,1.0893,6.6546
25,3.0247,3.3333,0.9444,,0.0,0.9259,0.8333,4.359,0.2778,1.0833
26,3.5063,5.5695,14.1447,0.1064,0.8293,0.0852,1.5054,5.4315,1.088,5.8483
27,3.6036,5.4054,0.0,1.3514,1.3514,0.0,1.3514,5.4054,0.0,6.1776
28,1.7543,1.4782,3.0251,0.0278,0.2734,0.5166,0.3823,2.6052,0.3137,2.4062
29,0.2032,0.7296,1.404,,0.294,0.0,0.1923,0.1357,0.2836,1.2846
30,0.5477,0.6385,1.4324,,0.1714,0.0184,0.2289,0.3476,0.091,0.8534
31,0.473,0.8781,3.41,0.0147,0.1722,,0.3132,1.1005,0.1717,1.8432
32,4.7307,4.5425,8.655,,1.1276,0.3222,1.8339,5.2718,0.3651,9.3469
33,1.6408,1.8881,6.6403,,0.4709,0.0,0.3924,2.9697,0.8642,4.1482
34,0.2784,0.4413,1.9112,0.0082,0.0492,,0.0902,0.7686,0.3587,0.8071
35,7.1636,9.7403,11.4003,,1.0043,,1.9589,2.3899,0.7566,6.2715
36,0.3847,0.3365,1.0274,,0.2099,0.0108,0.142,0.1994,0.0254,0.7437
37,0.2028,0.4031,0.9447,,0.0426,,0.1313,0.1482,0.0913,0.5149
38,1.0287,2.5803,5.3443,,0.9331,0.6496,0.3018,0.8794,0.6466,3.4118
39,0.5942,0.5549,1.3716,,0.0548,0.4089,0.1285,0.3226,0.0,0.3661
40,1.7634,2.2855,4.0381,0.1062,0.66,0.4501,0.498,2.1248,0.2498,2.8403
41,3.7488,34.9616,30.5282,0.7174,1.5941,9.6592,2.6487,8.3931,4.3623,37.1455
42,4.9808,18.5028,15.9313,0.1001,1.6408,9.0671,2.4065,4.0603,1.1261,22.695
43,1.839,14.4854,16.0054,2.7985,1.1076,10.5637,1.823,6.1408,5.0893,15.0586
44,1.4953,10.9168,5.594,0.1022,0.2842,5.7716,0.6693,3.6076,0.662,12.6075
45,1.9397,8.134,8.4667,,,0.8621,1.4817,6.0191,0.431,4.2196
46,1.9614,1.9871,4.6025,0.2942,0.5743,0.1427,0.8555,5.9563,0.5362,3.7175
47,1.0069,1.4482,2.8963,0.0237,0.1277,0.2308,0.4265,3.4449,0.2791,3.3107
48,1.4194,2.2567,4.7579,0.1885,0.2424,0.7211,0.6448,3.3961,0.2371,4.1633
49,0.1498,0.2688,0.4138,,0.1387,0.0,0.0449,0.0841,0.0361,0.3416
50,2.5759,3.1868,5.8281,0.1897,0.21,0.7234,0.8954,4.4156,0.529,4.6605
51,2.2731,3.1639,7.6328,1.6914,0.7078,0.7996,1.0645,10.0734,0.6958,7.2339
52,2.607,3.4211,8.2257,0.282,0.0278,0.1496,1.0785,3.7391,1.146,6.3055
53,5.5796,6.0472,7.2373,0.1932,0.0,0.2146,1.6789,9.2517,0.5219,4.3427
54,7.1685,9.1988,12.0847,0.7913,1.9288,3.3065,2.9426,7.2613,0.3912,6.1043
55,2.4607,3.4337,5.0341,0.5263,0.2169,2.3403,0.2213,4.0835,0.7233,9.4432
56,3.6048,11.2346,12.1507,,1.5071,6.1406,1.3132,6.836,1.459,15.4222
57,1.9105,4.9146,5.4798,0.329,0.5921,2.5901,0.6852,2.7718,0.7447,9.5953
58,0.5324,1.3018,1.5004,0.1641,0.1217,1.0615,0.2161,1.5488,0.1691,2.0837
59,1.4225,4.5692,11.3722,,0.2741,,0.4317,0.555,2.6836,5.3911
60,11.976,14.2412,22.5492,1.221,0.0,0.9615,3.0389,19.3012,2.381,10.5601
61,4.6268,7.6493,11.7817,0.2427,0.6301,0.2184,2.0041,7.5407,0.986,5.5195
62,4.2686,11.8497,12.5525,,0.0,0.578,1.8497,2.0231,1.8497,3.8333
63,5.5096,5.2342,4.2853,1.1019,,0.0,0.6158,3.8567,0.8264,2.3875
64,3.1941,1.9615,3.3967,0.0,0.7197,0.9414,0.1761,3.1758,0.8409,4.1235
65,3.4467,2.8443,6.632,0.1961,1.1769,0.2496,1.4878,3.2138,1.0051,4.356
66,3.1646,13.9241,30.186,,0.6329,4.7468,2.3734,6.2658,4.9842,17.1564
67,0.8413,1.2472,2.4985,0.0,0.112,0.1737,0.2694,1.5337,0.3353,1.7186
68,3.7024,4.83,8.9309,,3.1535,0.8183,2.8438,5.3,0.4855,9.6741
69,3.8495,8.1436,5.1312,1.5748,0.5249,1.3298,0.3208,10.6147,0.5249,12.3155
70,1.7871,1.8792,5.2364,0.176,0.6705,0.0587,0.3106,3.6697,0.3792,3.3218
71,1.8028,10.6176,5.0373,0.5634,0.0,7.4849,1.6901,6.8169,0.7887,11.4447
72,2.2075,3.5177,5.4599,0.0624,0.3981,4.8719,0.6208,2.2846,0.4798,6.3408
73,,,,,,,,,,
74,0.6802,0.5233,1.9517,,0.3919,0.0206,0.0825,0.4329,0.1242,1.8167
75,2.6338,9.3645,10.8696,0.3344,,1.5608,5.2808,5.3512,4.1026,6.8801
76,0.8328,1.9176,5.6978,,0.2221,0.1036,0.4506,1.5289,0.8964,2.4503
77,6.0747,7.9002,19.5719,0.1164,0.4657,0.8828,2.7939,9.243,1.5408,12.6854
78,1.2899,3.1129,4.8081,0.1337,0.3259,2.2759,0.8924,2.1603,0.5199,2.8295
79,3.5565,8.5525,18.074,0.2176,1.7806,2.7831,3.5155,10.3546,1.4214,17.5057
80,2.514,3.0065,4.7009,0.4318,0.9847,0.0677,0.7134,3.0632,0.5111,3.616
81,1.5908,3.3094,7.9604,0.3073,0.9277,2.6624,1.1587,2.6202,0.9588,5.7379
82,11.1163,13.6991,24.8999,0.7087,5.8691,15.4668,5.1673,15.2861,3.3117,20.7711
83,6.5133,6.295,9.2926,0.0,2.2095,0.1142,1.649,6.5393,0.9283,5.3742
84,1.9827,11.1332,13.1562,0.2465,0.8041,1.6083,1.7498,8.3007,1.8576,18.6434
85,12.6943,13.8115,23.3299,1.2407,0.0,0.2481,1.6749,13.0543,1.3825,14.4362
86,2.5052,7.3121,8.5302,2.6618,1.2178,1.4903,1.0942,6.3775,3.0344,20.4287
87,2.2008,2.6036,8.5194,0.2027,0.732,0.0,0.8108,4.8874,0.1544,5.4911
88,10.3566,12.901,19.5705,1.8653,3.9123,2.4709,3.3753,13.6438,2.3983,23.7729
89,3.4609,5.5883,10.5514,0.112,1.7737,1.0562,1.8048,11.6272,1.0007,6.7
90,0.924,3.104,7.6537,,0.0905,0.3554,1.3675,2.5548,0.3412,2.7356
91,1.0295,3.2159,4.5949,0.1026,1.1519,0.95,0.7378,1.925,0.5402,3.7927
92,1.3359,6.344,8.5836,4.7374,1.3264,1.1558,2.236,11.2359,0.9858,7.7747
93,1.5909,3.2361,4.7897,0.0385,1.1384,0.7779,0.7803,4.4175,0.5425,7.1594
94,1.7846,4.2545,5.9903,0.5037,0.3528,1.708,1.3689,5.6845,0.5775,3.709
95,1.486,13.7001,7.8179,3.3133,0.4582,7.5871,0.7091,5.2166,1.0205,11.7426
96,3.5556,20.6379,8.8629,2.7778,3.3565,7.9314,1.4403,4.9042,3.5867,22.5558
97,1.5794,24.2326,15.3905,4.7323,1.6873,7.5758,1.1938,10.1218,1.8083,18.0609
98,11.3328,17.9916,18.3579,0.3012,,1.3554,5.5136,14.163,2.8614,8.1905
99,1.096,5.0684,5.6911,0.045,0.1687,0.4763,1.1094,3.8286,0.5912,5.8425
100,0.7752,37.7362,24.5478,0.8721,0.0,12.6246,6.2016,5.4264,2.3256,43.9124
101,5.0725,5.0242,9.5019,,0.9778,1.7143,2.1143,5.2261,0.25,6.6111
102,5.8559,25.9259,18.9381,0.9009,1.5444,12.3874,4.4616,10.9082,2.0592,48.0964
