ht_id,ht_name,등급,address,구,지하철역,bk_url,ya_url,good_url,bk_cnt,ya_cnt,good_cnt
1,24게스트하우스서울시청점,게스트하우스,서울특별시 중구 태평로2가 366-1  3층,중구,시청역,-,https://place-site.yanolja.com/places/1000108609,https://www.goodchoice.kr/product/detail?ano=53861&adcno=6&sel_date=2023-03-07&sel_date2=2023-03-08,0,28,33
2,57명동호스텔,게스트하우스,서울특별시 중구 명동2길 57 (충무로1가),중구,명동역,https://www.booking.com/hotel/kr/philstay-myeongdong-station-seoul.ko.html?aid=376440&label=bdot-HhWTaX_r6btPip7sfrk7SQS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-324456682700%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=20a92c6af50e164afe01f4f21a95272b&dest_id=1412998;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1677060048;srpvid=df1346675321019d;type=total;ucfs=1&#hotelTmpl,https://place-site.yanolja.com/places/3009984,https://www.goodchoice.kr/product/detail?ano=46753&adcno=6&sel_date=2023-03-07&sel_date2=2023-03-08,1165,74,30
3,AC호텔바이메리어트서울강남,4,서울 강남구 역삼동 642,강남구,역삼역,https://www.booking.com/hotel/kr/mercure-ambassador-gangnam.ko.html?aid=376440&label=bdot-HhWTaX_r6btPip7sfrk7SQS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-324456682700%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=20a92c6af50e164afe01f4f21a95272b&dest_id=410312;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1677057777;srpvid=0b5c41f8f8890285;type=total;ucfs=1&#hotelTmpl,-,https://www.goodchoice.kr/product/detail?ano=70224&adcno=2&sel_date=2023-03-07&sel_date2=2023-03-08,195,0,19
4,BB홍대호스텔,모텔,서울특별시 마포구 동교로38길 36,마포구,-,https://www.booking.com/hotel/kr/kw-hongdae-line.ko.html?label=gen173nr-1BCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQGIAgGoAgO4Av3h1p8GwAIB0gIkYTUyN2Y4M2EtMWQ1Yy00MTNhLWE0MDMtZGI1Y2IzZmU5MTk32AIF4AIB&sid=c7636bf4d367edb05ae511f2b1d5d5e5&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=8d512b02f562013e&srepoch=1677046021&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,https://place-site.yanolja.com/places/1000105762,https://www.goodchoice.kr/product/detail?ano=64478&adcno=6&sel_date=2023-03-07&sel_date2=2023-03-08,304,96,210
5,D.H네상스호텔,3,서울 성북구 동선동1가 92-20,성북구,성신여대입구역,https://www.booking.com/hotel/kr/dh-renaissance.ko.html?label=gen173nr-1BCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQGIAgGoAgO4Arbc1p8GwAIB0gIkOWIwMTc4ZjUtZmM2YS00ODYxLWI1OTItMWJiNjk1ZTk2ODY52AIF4AIB&sid=671e1ec71caec9f0cf64a3eb608d4ae7&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=844f299ee35601db&srepoch=1677045311&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,-,https://www.goodchoice.kr/product/detail?ano=12008&adcno=1&sel_date=2023-03-07&sel_date2=2023-03-08,130,0,233
6,DW디자인레지던스,모텔,"서울, 마포구 동교로25길 35",마포구,홍대입구역,https://www.booking.com/hotel/kr/dw-design-residence.ko.html?label=gen173nr-1BCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQGIAgGoAgO4Arzj1p8GwAIB0gIkODM3YTc5ODQtNTExZC00MjlmLTk1ZjEtMmQyNzFhYzM0OTZl2AIF4AIB&sid=f04a31c3534f0202403d324dde2b423d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=88772b62e0e600a8&srepoch=1677046213&map_fdco=1&from=searchresults#hotelTmpl,-,-,124,0,0
7,ENA스위트호텔남대문,3,서울특별시 중구 세종대로11길 36,중구,시청역,https://www.booking.com/hotel/kr/ena-suite-namdaemun.ko.html?label=gen173nr-1BCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQGIAgGoAgO4AsKu1p8GwAIB0gIkNjU5NjNhZDUtMGNhMy00NWIyLWE2ZDMtOGVjNzNhMjU3ODcw2AIF4AIB&sid=9a1b2e18a4f34119e997871ce3759afd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=c7001e247fb20059&srepoch=1677039434&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,https://place-site.yanolja.com/places/3013454,https://www.goodchoice.kr/product/detail?ano=51061&adcno=2&sel_date=2023-03-07&sel_date2=2023-03-08,1600,774,264
8,G2호텔명동,3,서울특별시 중구 수표로 24,중구,-,https://www.booking.com/hotel/kr/g2-myeongdong.ko.html?label=gen173nr-1FCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArOu1p8GwAIB0gIkZjVkMTQyYWQtODUxMS00M2NlLThhYjMtNjljYWY5ZDU3YjM12AIG4AIB&sid=31a6180b2c9aa0b7c55c1f8a2eb67d7c&aid=304142&ucfs=1&arphpl=1&dest_id=2218946&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=66c81e1caae600ad&srepoch=1677039419&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,https://place-site.yanolja.com/places/3014511,https://www.goodchoice.kr/product/detail?ano=46808&adcno=2&sel_date=2023-03-07&sel_date2=2023-03-08,176,171,172
9,G3호텔충무로,3,서울특별시 중구 충무로 7,중구,-,-,https://place-site.yanolja.com/places/10046960,https://www.goodchoice.kr/product/detail?ano=71932&adcno=2&sel_date=2023-03-07&sel_date2=2023-03-08,0,89,141
10,Glue호텔,3,"서울, 종로구 율곡로 228 ",종로구,-,https://www.booking.com/hotel/kr/glue-hotel.ko.html?label=gen173nr-1FCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apaz1p8GwAIB0gIkNTY3ZjBjOTQtYjhkZS00YzEwLWE3ZjgtODE3YTMwOWI1N2Fm2AIG4AIB&sid=50d50f08ed8705f44ffdee75372e71a7&aid=304142&ucfs=1&arphpl=1&dest_id=5663963&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d3a31f50d4490152&srepoch=1677040035&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,-,-,1551,0,0
